,iModulon,Gene
1060,Photosinthesis_via_phycocyanin,SGL_RS19235
1061,Photosinthesis_via_phycocyanin,SGL_RS12630
1062,Photosinthesis_via_phycocyanin,SGL_RS12635
1063,Photosinthesis_via_phycocyanin,SGL_RS12790
1064,Photosinthesis_via_phycocyanin,SGL_RS12985
1065,Photosinthesis_via_phycocyanin,SGL_RS13540
1066,Photosinthesis_via_phycocyanin,SGL_RS14355
1067,Photosinthesis_via_phycocyanin,SGL_RS14520
1068,Photosinthesis_via_phycocyanin,SGL_RS14600
1069,Photosinthesis_via_phycocyanin,SGL_RS15010
1070,Photosinthesis_via_phycocyanin,SGL_RS15380
1071,Photosinthesis_via_phycocyanin,SGL_RS15440
1072,Photosinthesis_via_phycocyanin,SGL_RS15890
1073,Photosinthesis_via_phycocyanin,SGL_RS16195
1074,Photosinthesis_via_phycocyanin,SGL_RS16250
1075,Photosinthesis_via_phycocyanin,SGL_RS19495
1076,Photosinthesis_via_phycocyanin,SGL_RS17120
1077,Photosinthesis_via_phycocyanin,SGL_RS19285
1078,Photosinthesis_via_phycocyanin,SGL_RS17560
1079,Photosinthesis_via_phycocyanin,SGL_RS17750
1080,Photosinthesis_via_phycocyanin,SGL_RS17765
1081,Photosinthesis_via_phycocyanin,SGL_RS17955
1082,Photosinthesis_via_phycocyanin,SGL_RS17975
1083,Photosinthesis_via_phycocyanin,SGL_RS18025
1084,Photosinthesis_via_phycocyanin,SGL_RS19505
1085,Photosinthesis_via_phycocyanin,SGL_RS20095
1086,Photosinthesis_via_phycocyanin,SGL_RS01500
1087,Photosinthesis_via_phycocyanin,SGL_RS01580
1088,Photosinthesis_via_phycocyanin,SGL_RS01655
1089,Photosinthesis_via_phycocyanin,SGL_RS01735
1090,Photosinthesis_via_phycocyanin,SGL_RS01770
1091,Photosinthesis_via_phycocyanin,SGL_RS19740
1092,Photosinthesis_via_phycocyanin,SGL_RS00090
1093,Photosinthesis_via_phycocyanin,SGL_RS18485
1094,Photosinthesis_via_phycocyanin,SGL_RS19370
1095,Photosinthesis_via_phycocyanin,SGL_RS00420
1096,Photosinthesis_via_phycocyanin,SGL_RS00450
1097,Photosinthesis_via_phycocyanin,SGL_RS00530
1098,Photosinthesis_via_phycocyanin,SGL_RS01285
1099,Photosinthesis_via_phycocyanin,SGL_RS00640
1100,Photosinthesis_via_phycocyanin,SGL_RS00645
1101,Photosinthesis_via_phycocyanin,SGL_RS00790
